date,product,total_quantity_sold,transaction_count
2017-07-01,Bignay,4015.0,1371
2017-07-01,Black/White Pepper,4160.0,1401
2017-07-01,European Grape,4027.0,1359
2017-07-01,Hazelnut,4164.0,1405
2017-07-01,Mabolo,4104.0,1393
2017-07-01,Natal Orange,4055.0,1391
2017-07-01,Prairie Potato,4047.0,1385
2017-07-01,Round Kumquat,3959.0,1315
2017-07-01,Ume,4141.0,1396
2017-07-01,Ylang-ylang,3996.0,1379
2017-07-02,Bignay,3335.0,1624
2017-07-02,Black/White Pepper,3370.0,1661
2017-07-02,European Grape,3387.0,1614
2017-07-02,Hazelnut,3349.0,1611
2017-07-02,Mabolo,3328.0,1582
2017-07-02,Natal Orange,3304.0,1676
2017-07-02,Prairie Potato,3336.0,1621
2017-07-02,Round Kumquat,3339.0,1635
2017-07-02,Ume,3277.0,1558
2017-07-02,Ylang-ylang,3414.0,1622
2017-07-03,Bignay,2197.0,1630
2017-07-03,Black/White Pepper,2236.0,1671
2017-07-03,European Grape,2153.0,1612
2017-07-03,Hazelnut,2154.0,1564
2017-07-03,Mabolo,2217.0,1636
2017-07-03,Natal Orange,2274.0,1688
2017-07-03,Prairie Potato,2193.0,1646
2017-07-03,Round Kumquat,2317.0,1716
2017-07-03,Ume,2199.0,1578
2017-07-03,Ylang-ylang,2178.0,1595
